color,spine,width,satell,weight,y
medium,bad,28.3,8,3050,1
dark,bad,22.5,0,1550,0
light,good,26,9,2300,1
dark,bad,24.8,0,2100,0
dark,bad,26,4,2600,1
medium,bad,23.8,0,2100,0
light,good,26.5,0,2350,0
dark,middle,24.7,0,1900,0
medium,good,23.7,0,1950,0
dark,bad,25.6,0,2150,0
dark,bad,24.3,0,2150,0
medium,bad,25.8,0,2650,0
medium,bad,28.2,11,3050,1
darker,middle,21,0,1850,0
medium,good,26,14,2300,1
light,good,27.1,8,2950,1
medium,bad,25.2,1,2000,1
medium,bad,29,1,3000,1
darker,bad,24.7,0,2200,0
medium,bad,27.4,5,2700,1
medium,middle,23.2,4,1950,1
light,middle,25,3,2300,1
medium,good,22.5,1,1600,1
dark,bad,26.7,2,2600,1
darker,bad,25.8,3,2000,1
darker,bad,26.2,0,1300,0
medium,bad,28.7,3,3150,1
medium,good,26.8,5,2700,1
darker,bad,27.5,0,2600,0
medium,bad,24.9,0,2100,0
light,good,29.3,4,3200,1
light,bad,25.8,0,2600,0
medium,middle,25.7,0,2000,0
medium,good,25.7,8,2000,1
medium,good,26.7,5,2700,1
darker,bad,23.7,0,1850,0
medium,bad,26.8,0,2650,0
medium,bad,27.5,6,3150,1
darker,bad,23.4,0,1900,0
medium,bad,27.9,6,2800,1
dark,bad,27.5,3,3100,1
light,good,26.1,5,2800,1
light,good,27.7,6,2500,1
medium,good,30,5,3300,1
dark,good,28.5,9,3250,1
dark,bad,28.9,4,2800,1
medium,bad,28.2,6,2600,1
medium,bad,25,4,2100,1
medium,bad,28.5,3,3000,1
medium,good,30.3,3,3600,1
darker,bad,24.7,5,2100,1
medium,bad,27.7,5,2900,1
light,good,27.4,6,2700,1
medium,bad,22.9,4,1600,1
medium,good,25.7,5,2000,1
medium,bad,28.3,15,3000,1
medium,bad,27.2,3,2700,1
dark,bad,26.2,3,2300,1
medium,good,27.8,0,2750,0
darker,bad,25.5,0,2250,0
dark,bad,27.1,0,2550,0
dark,bad,24.5,5,2050,1
dark,good,27,3,2450,1
medium,bad,26,5,2150,1
medium,bad,28,1,2800,1
medium,bad,30,8,3050,1
medium,bad,29,10,3200,1
medium,bad,26.2,0,2400,0
medium,good,26.5,0,1300,0
medium,bad,26.2,3,2400,1
dark,bad,25.6,7,2800,1
dark,bad,23,1,1650,1
dark,bad,23,0,1800,0
medium,bad,25.4,6,2250,1
dark,bad,24.2,0,1900,0
medium,middle,22.9,0,1600,0
dark,middle,26,3,2200,1
medium,bad,25.4,4,2250,1
dark,bad,25.7,0,1200,0
medium,bad,25.1,5,2100,1
dark,middle,24.5,0,2250,0
darker,bad,27.5,0,2900,0
dark,bad,23.1,0,1650,0
dark,good,25.9,4,2550,1
medium,bad,25.8,0,2300,0
darker,bad,27,3,2250,1
medium,bad,28.5,0,3050,0
darker,good,25.5,0,2750,0
darker,bad,23.5,0,1900,0
medium,middle,24,0,1700,0
medium,good,29.7,5,3850,1
medium,good,26.8,0,2550,0
darker,bad,26.7,0,2450,0
medium,good,28.7,0,3200,0
dark,bad,23.1,0,1550,0
medium,good,29,1,2800,1
dark,bad,25.5,0,2250,0
dark,bad,26.5,1,1967,1
dark,bad,24.5,1,2200,1
dark,bad,28.5,1,3000,1
medium,bad,28.2,1,2867,1
medium,bad,24.5,1,1600,1
medium,bad,27.5,1,2550,1
medium,middle,24.7,4,2550,1
medium,good,25.2,1,2000,1
dark,bad,27.3,1,2900,1
medium,bad,26.3,1,2400,1
medium,bad,29,1,3100,1
medium,bad,25.3,2,1900,1
medium,bad,26.5,4,2300,1
medium,bad,27.8,3,3250,1
medium,bad,27,6,2500,1
dark,bad,25.7,0,2100,0
medium,bad,25,2,2100,1
medium,bad,31.9,2,3325,1
darker,bad,23.7,0,1800,0
darker,bad,29.3,12,3225,1
dark,bad,22,0,1400,0
medium,bad,25,5,2400,1
dark,bad,27,6,2500,1
dark,bad,23.8,6,1800,1
light,good,30.2,2,3275,1
dark,bad,26.2,0,2225,0
medium,bad,24.2,2,1650,1
medium,bad,27.4,3,2900,1
medium,middle,25.4,0,2300,0
dark,bad,28.4,3,3200,1
darker,bad,22.5,4,1475,1
medium,bad,26.2,2,2025,1
medium,good,24.9,6,2300,1
light,middle,24.5,6,1950,1
medium,bad,25.1,0,1800,0
medium,good,28,4,2900,1
darker,bad,25.8,10,2250,1
medium,bad,27.9,7,3050,1
medium,bad,24.9,0,2200,0
medium,good,28.4,5,3100,1
dark,bad,27.2,5,2400,1
medium,middle,25,6,2250,1
medium,bad,27.5,6,2625,1
medium,good,33.5,7,5200,1
medium,bad,30.5,3,3325,1
dark,bad,29,3,2925,1
medium,good,24.3,0,2000,0
medium,bad,25.8,0,2400,0
darker,bad,25,8,2100,1
medium,good,31.7,4,3725,1
medium,bad,29.5,4,3025,1
dark,bad,24,10,1900,1
medium,bad,30,9,3000,1
medium,bad,27.6,4,2850,1
medium,bad,26.2,0,2300,0
medium,good,23.1,0,2000,0
medium,good,22.9,0,1600,0
darker,bad,24.5,0,1900,0
medium,bad,24.7,4,1950,1
medium,bad,28.3,0,3200,0
medium,bad,23.9,2,1850,1
dark,bad,23.8,0,1800,0
dark,middle,29.8,4,3500,1
medium,bad,26.5,4,2350,1
medium,bad,26,3,2275,1
medium,bad,28.2,8,3050,1
darker,bad,25.7,0,2150,0
