"","day","month","year","deaths","date"
"1",1,1,"2015",107,2015-01-01
"2",1,1,"2016",89,2016-01-01
"3",1,1,"2017",107,2017-01-01
"4",1,1,"2018",95,2018-01-01
"5",2,1,"2015",101,2015-01-02
"6",2,1,"2016",88,2016-01-02
"7",2,1,"2017",108,2017-01-02
"8",2,1,"2018",107,2018-01-02
"9",3,1,"2015",78,2015-01-03
"10",3,1,"2016",79,2016-01-03
"11",3,1,"2017",115,2017-01-03
"12",3,1,"2018",92,2018-01-03
"13",4,1,"2015",121,2015-01-04
"14",4,1,"2016",90,2016-01-04
"15",4,1,"2017",81,2017-01-04
"16",4,1,"2018",108,2018-01-04
"17",5,1,"2015",99,2015-01-05
"18",5,1,"2016",80,2016-01-05
"19",5,1,"2017",79,2017-01-05
"20",5,1,"2018",94,2018-01-05
"21",6,1,"2015",104,2015-01-06
"22",6,1,"2016",96,2016-01-06
"23",6,1,"2017",90,2017-01-06
"24",6,1,"2018",87,2018-01-06
"25",7,1,"2015",79,2015-01-07
"26",7,1,"2016",92,2016-01-07
"27",7,1,"2017",116,2017-01-07
"28",7,1,"2018",97,2018-01-07
"29",8,1,"2015",73,2015-01-08
"30",8,1,"2016",77,2016-01-08
"31",8,1,"2017",108,2017-01-08
"32",8,1,"2018",85,2018-01-08
"33",9,1,"2015",90,2015-01-09
"34",9,1,"2016",86,2016-01-09
"35",9,1,"2017",81,2017-01-09
"36",9,1,"2018",91,2018-01-09
"37",10,1,"2015",75,2015-01-10
"38",10,1,"2016",90,2016-01-10
"39",10,1,"2017",85,2017-01-10
"40",10,1,"2018",89,2018-01-10
"41",11,1,"2015",88,2015-01-11
"42",11,1,"2016",86,2016-01-11
"43",11,1,"2017",77,2017-01-11
"44",11,1,"2018",94,2018-01-11
"45",12,1,"2015",85,2015-01-12
"46",12,1,"2016",81,2016-01-12
"47",12,1,"2017",75,2017-01-12
"48",12,1,"2018",92,2018-01-12
"49",13,1,"2015",74,2015-01-13
"50",13,1,"2016",79,2016-01-13
"51",13,1,"2017",84,2017-01-13
"52",13,1,"2018",107,2018-01-13
"53",14,1,"2015",98,2015-01-14
"54",14,1,"2016",87,2016-01-14
"55",14,1,"2017",103,2017-01-14
"56",14,1,"2018",90,2018-01-14
"57",15,1,"2015",88,2015-01-15
"58",15,1,"2016",94,2016-01-15
"59",15,1,"2017",104,2017-01-15
"60",15,1,"2018",93,2018-01-15
"61",16,1,"2015",111,2015-01-16
"62",16,1,"2016",99,2016-01-16
"63",16,1,"2017",103,2017-01-16
"64",16,1,"2018",103,2018-01-16
"65",17,1,"2015",92,2015-01-17
"66",17,1,"2016",92,2016-01-17
"67",17,1,"2017",85,2017-01-17
"68",17,1,"2018",83,2018-01-17
"69",18,1,"2015",90,2015-01-18
"70",18,1,"2016",83,2016-01-18
"71",18,1,"2017",94,2017-01-18
"72",18,1,"2018",96,2018-01-18
"73",19,1,"2015",101,2015-01-19
"74",19,1,"2016",81,2016-01-19
"75",19,1,"2017",91,2017-01-19
"76",19,1,"2018",75,2018-01-19
"77",20,1,"2015",98,2015-01-20
"78",20,1,"2016",100,2016-01-20
"79",20,1,"2017",88,2017-01-20
"80",20,1,"2018",99,2018-01-20
"81",21,1,"2015",105,2015-01-21
"82",21,1,"2016",81,2016-01-21
"83",21,1,"2017",102,2017-01-21
"84",21,1,"2018",91,2018-01-21
"85",22,1,"2015",71,2015-01-22
"86",22,1,"2016",87,2016-01-22
"87",22,1,"2017",90,2017-01-22
"88",22,1,"2018",95,2018-01-22
"89",23,1,"2015",82,2015-01-23
"90",23,1,"2016",92,2016-01-23
"91",23,1,"2017",95,2017-01-23
"92",23,1,"2018",67,2018-01-23
"93",24,1,"2015",84,2015-01-24
"94",24,1,"2016",100,2016-01-24
"95",24,1,"2017",87,2017-01-24
"96",24,1,"2018",93,2018-01-24
"97",25,1,"2015",83,2015-01-25
"98",25,1,"2016",92,2016-01-25
"99",25,1,"2017",96,2017-01-25
"100",25,1,"2018",86,2018-01-25
"101",26,1,"2015",83,2015-01-26
"102",26,1,"2016",98,2016-01-26
"103",26,1,"2017",94,2017-01-26
"104",26,1,"2018",93,2018-01-26
"105",27,1,"2015",73,2015-01-27
"106",27,1,"2016",91,2016-01-27
"107",27,1,"2017",81,2017-01-27
"108",27,1,"2018",86,2018-01-27
"109",28,1,"2015",87,2015-01-28
"110",28,1,"2016",98,2016-01-28
"111",28,1,"2017",99,2017-01-28
"112",28,1,"2018",91,2018-01-28
"113",29,1,"2015",73,2015-01-29
"114",29,1,"2016",92,2016-01-29
"115",29,1,"2017",97,2017-01-29
"116",29,1,"2018",88,2018-01-29
"117",30,1,"2015",78,2015-01-30
"118",30,1,"2016",90,2016-01-30
"119",30,1,"2017",97,2017-01-30
"120",30,1,"2018",82,2018-01-30
"121",31,1,"2015",73,2015-01-31
"122",31,1,"2016",72,2016-01-31
"123",31,1,"2017",82,2017-01-31
"124",31,1,"2018",72,2018-01-31
"125",1,2,"2015",66,2015-02-01
"126",1,2,"2016",111,2016-02-01
"127",1,2,"2017",93,2017-02-01
"128",1,2,"2018",82,2018-02-01
"129",2,2,"2015",114,2015-02-02
"130",2,2,"2016",95,2016-02-02
"131",2,2,"2017",88,2017-02-02
"132",2,2,"2018",113,2018-02-02
"133",3,2,"2015",95,2015-02-03
"134",3,2,"2016",119,2016-02-03
"135",3,2,"2017",68,2017-02-03
"136",3,2,"2018",93,2018-02-03
"137",4,2,"2015",87,2015-02-04
"138",4,2,"2016",89,2016-02-04
"139",4,2,"2017",76,2017-02-04
"140",4,2,"2018",76,2018-02-04
"141",5,2,"2015",84,2015-02-05
"142",5,2,"2016",109,2016-02-05
"143",5,2,"2017",71,2017-02-05
"144",5,2,"2018",67,2018-02-05
"145",6,2,"2015",93,2015-02-06
"146",6,2,"2016",87,2016-02-06
"147",6,2,"2017",81,2017-02-06
"148",6,2,"2018",90,2018-02-06
"149",7,2,"2015",79,2015-02-07
"150",7,2,"2016",94,2016-02-07
"151",7,2,"2017",94,2017-02-07
"152",7,2,"2018",79,2018-02-07
"153",8,2,"2015",94,2015-02-08
"154",8,2,"2016",94,2016-02-08
"155",8,2,"2017",82,2017-02-08
"156",8,2,"2018",81,2018-02-08
"157",9,2,"2015",80,2015-02-09
"158",9,2,"2016",79,2016-02-09
"159",9,2,"2017",105,2017-02-09
"160",9,2,"2018",104,2018-02-09
"161",10,2,"2015",77,2015-02-10
"162",10,2,"2016",102,2016-02-10
"163",10,2,"2017",79,2017-02-10
"164",10,2,"2018",99,2018-02-10
"165",11,2,"2015",109,2015-02-11
"166",11,2,"2016",92,2016-02-11
"167",11,2,"2017",89,2017-02-11
"168",11,2,"2018",86,2018-02-11
"169",12,2,"2015",93,2015-02-12
"170",12,2,"2016",88,2016-02-12
"171",12,2,"2017",86,2017-02-12
"172",12,2,"2018",85,2018-02-12
"173",13,2,"2015",86,2015-02-13
"174",13,2,"2016",97,2016-02-13
"175",13,2,"2017",67,2017-02-13
"176",13,2,"2018",89,2018-02-13
"177",14,2,"2015",67,2015-02-14
"178",14,2,"2016",84,2016-02-14
"179",14,2,"2017",86,2017-02-14
"180",14,2,"2018",91,2018-02-14
"181",15,2,"2015",79,2015-02-15
"182",15,2,"2016",93,2016-02-15
"183",15,2,"2017",85,2017-02-15
"184",15,2,"2018",86,2018-02-15
"185",16,2,"2015",101,2015-02-16
"186",16,2,"2016",78,2016-02-16
"187",16,2,"2017",73,2017-02-16
"188",16,2,"2018",83,2018-02-16
"189",17,2,"2015",81,2015-02-17
"190",17,2,"2016",85,2016-02-17
"191",17,2,"2017",86,2017-02-17
"192",17,2,"2018",78,2018-02-17
"193",18,2,"2015",75,2015-02-18
