"","gene","p_value"
"1","1007_s_at",1.20069906993364e-05
"2","1053_at",0.0002390349073815
"3","117_at",0.0163654746957524
"4","121_at",0.39670155068893
"5","1255_g_at",0.000668805424682192
"6","1294_at",4.6867537478478e-05
"7","1316_at",0.00107431411305523
"8","1320_at",2.92298722767551e-05
"9","1405_i_at",0.0234312542291315
"10","1431_at",0.000243138940777627
"11","1438_at",0.953360047742367
"12","1487_at",5.9835590027562e-06
"13","1494_f_at",0.234321204887293
"14","1552256_a_at",0.440301071683942
"15","1552257_a_at",0.0149729066424327
"16","1552258_at",0.00121477551165025
"17","1552261_at",0.64502280179157
"18","1552263_at",0.0110297890654446
"19","1552264_a_at",0.631488276544286
"20","1552266_at",1.94136603939901e-06
"21","1552269_at",3.27628730569962e-16
"22","1552271_at",0.0410959180403746
"23","1552272_a_at",0.00185109636483943
"24","1552274_at",0.0320904218981454
"25","1552275_s_at",0.0253531271466716
"26","1552276_a_at",0.410609476789829
"27","1552277_a_at",1.17174221039307e-08
"28","1552278_a_at",0.252911391712099
"29","1552279_a_at",0.00209740800097574
"30","1552280_at",0.214089110688582
"31","1552281_at",0.0353590625707769
"32","1552283_s_at",1.88798821426687e-05
"33","1552286_at",0.0953853231419871
"34","1552287_s_at",0.0559775406525781
"35","1552288_at",0.939829781612202
"36","1552289_a_at",0.132197579608272
"37","1552291_at",0.901355452745168
"38","1552293_at",0.0062473841337059
"39","1552295_a_at",0.0293321245172699
"40","1552296_at",0.00383140049913266
"41","1552299_at",0.0525539031115636
"42","1552301_a_at",5.14147853779999e-08
"43","1552302_at",3.39009794710582e-06
"44","1552303_a_at",0.164904205116044
"45","1552304_at",7.29554948881334e-06
"46","1552306_at",8.76222912209095e-19
"47","1552307_a_at",0.00077000246655008
"48","1552309_a_at",0.114008075247307
"49","1552310_at",0.114256660648373
"50","1552311_a_at",0.072124995194798
"51","1552312_a_at",0.000895628710685243
"52","1552314_a_at",0.0512173994729824
"53","1552315_at",0.127151421861507
"54","1552316_a_at",0.883538952249714
"55","1552318_at",0.0104511899425554
"56","1552319_a_at",0.478507334919685
"57","1552320_a_at",1.68355560750261e-07
"58","1552321_a_at",2.39959047681924e-06
"59","1552322_at",1.18866180277193e-05
"60","1552323_s_at",5.34527838878706e-05
"61","1552325_at",0.0730857748265008
"62","1552326_a_at",0.00125590574992594
"63","1552327_at",0.330229089620066
"64","1552329_at",0.941981104532588
"65","1552330_at",0.0373422557122453
"66","1552332_at",0.322684601098507
"67","1552334_at",1.61843987642364e-07
"68","1552335_at",0.0145839441257618
"69","1552337_s_at",0.0298161220478749
"70","1552338_at",0.779174139332589
"71","1552340_at",0.0995737740590759
"72","1552343_s_at",0.0184019098075635
"73","1552344_s_at",0.377493957442203
"74","1552347_at",0.0887948764923353
"75","1552348_at",0.818700928008138
"76","1552349_a_at",0.692368144551578
"77","1552354_at",0.695731518005517
"78","1552355_s_at",0.0236135978516372
"79","1552359_at",0.961581557379547
"80","1552360_a_at",1.50074933415293e-07
"81","1552362_a_at",0.625371175129801
"82","1552364_s_at",0.000630727264673271
"83","1552365_at",5.93480108061915e-06
"84","1552367_a_at",3.1188393254102e-10
"85","1552368_at",0.25146087488582
"86","1552370_at",0.000492691513862911
"87","1552372_at",0.778847887241207
"88","1552373_s_at",0.945768805862276
"89","1552375_at",0.00562344867812539
"90","1552377_s_at",0.188618436478286
"91","1552378_s_at",9.88022738455949e-10
"92","1552379_at",0.181577178963203
"93","1552381_at",0.703541722564367
"94","1552383_at",0.0149169844083359
"95","1552384_a_at",0.141724686419166
"96","1552386_at",4.86454154208731e-05
"97","1552388_at",0.0119123272143304
"98","1552389_at",0.00475136651469751
"99","1552390_a_at",0.00163782656096321
"100","1552391_at",0.0429320376282286
"101","1552393_at",0.0590297128908093
"102","1552394_a_at",0.00206443140225682
"103","1552395_at",0.476871699324444
"104","1552396_at",0.0873391607437586
"105","1552398_a_at",0.241161417637291
"106","1552399_a_at",0.334859662444316
"107","1552400_a_at",2.31130904831145e-06
"108","1552401_a_at",0.0086838983943249
"109","1552402_at",0.0370087976946838
"110","1552405_at",0.607309277927809
"111","1552408_at",0.938109291117587
